影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
0.5毫米,安藤桃子,安藤桃子,安藤樱;织本顺吉;木内みどり;土屋希望;井上竜夫;东出昌大;柳原晴郎;角替和枝;浅田美代子;坂田利夫;柄本明;草笛光子;津川雅彦,剧情,日本,日语,2014-11-08(日本)
0.5的爱情,邢潇,白铭健;邢潇;苏芸萌,蒲巴甲;江语晨;李悦铭;龚洁,爱情,中国大陆,汉语普通话,2014-09-12(中国大陆)
007：幽灵党,萨姆·门德斯,约翰·洛根;尼尔·珀维斯;罗伯特·韦德;杰斯·巴特沃斯;伊恩·弗莱明,丹尼尔·克雷格;克里斯托弗·沃尔兹;蕾雅·赛杜;本·卫肖;娜奥米·哈里斯;戴夫·巴蒂斯塔;莫妮卡·贝鲁奇;拉尔夫·费因斯;斯黛芬妮·西格曼;安德鲁·斯科特;罗里·金奈尔;内芙·加切夫;加斯帕·克里斯滕森;丹尼尔·斯蒂森;丹尼尔·韦斯特伍德;拉斯科·阿特金斯,动作;惊悚;冒险,英国 / 美国,英语 / 西班牙语 / 意大利语 / 德语 / 法语,2015-11-13(中国大陆);2015-10-26(英国);2015-11-06(美国)
10分钟,李容承,Kim Hyemin,白钟焕;Jong-gu Kim;郑熙泰,剧情,韩国,韩语,2014-04-24
10年计划,J.C. Calciano,J.C. Calciano,杰克·特纳;迈克尔·亚当·汉密尔顿;内森·彼得森;泰瑞·里维斯;Moronai Kanekoa;Teri Reeves;Adam Bucci;Ben Palacios;Trevor Kuhn;Michael Rothhaar;黛布拉·威尔逊,喜剧;同性,美国,英语,2015-06-02(美国)
11-12-13至死不渝,Sarawut Wichiensarn,苏格拉瓦·卡那诺;Nutthasit Kotimanuswanich,苏格拉瓦·卡那诺;Nutthasit Kotimanuswanich;阿芮根妲·马哈乐沙空;Mek Mekwattana,喜剧;恐怖,泰国,泰语,2016-03-31(泰国)
11时,金炫锡,,郑在咏;金玉彬;丹尼尔·崔;李代延;朴哲民;申多恩;吴光禄,惊悚,韩国,韩语,2013-11-28(韩国)
127小时,丹尼·博伊尔,西蒙·博福伊;丹尼·博伊尔;阿龙·罗尔斯顿,詹姆斯·弗兰科;丽兹·卡潘;凯特·玛拉;爱波·塔布琳;克蕾曼丝·波西;特里特·威廉斯;凯特·伯顿;达林·绍瑟姆;彼得·约书亚·赫尔;肖恩·博特,剧情;传记;冒险,美国 / 英国,英语,2010-11-05(美国)
12回合3：致命禁闭,Stephen Reynolds,Nathan Brookes;Bobby Lee Darby,丹尼尔·库德摩尔;洛奇林·莫罗;罗杰·R.克劳斯;瑞贝卡·马绍尔;马修·哈里逊;Toby Levins;科尔比·莫罗,动作,美国,英语,2015-09-11
12岁的少年,迈克尔·科斯塔,安东尼·西皮阿诺,Conor Donovan;杰西·卡马乔;祖儿·魏泽鲍姆;杰瑞米·雷纳;安娜贝拉·莎拉,剧情,美国,英语,2005-09-11
12金鸭,邹凯光,邹凯光,吴君如;古天乐;刘浩龙;黄秋生;周柏豪;邵美君;郑欣宜;诗雅;卢觅雪;许绍雄;周秀娜;陈妍希;郭子健;陈奕迅;李若彤;任达华;姜皓文;蔡瀚亿;卢燕;姚家豪;王菀之;黄伟文;李拾壹;关楚耀;冼色丽;陈家乐;赵硕之;孙建宏;颜子菲;林兆霞;卢海鹏;薛凯琪;梁洛施;陈静;谢霆锋;容祖儿;阮兆祥;叶伟信;陆永;吴君祥;区永权;冯勉恒;赵薇;鹿晗;彭于晏,喜剧,香港,粤语 / 汉语普通话 / 英语 / 泰语,2015-02-19(香港)
13骇人游戏,Daniel Stamm,Daniel Stamm;David Birke,朗·普尔曼;马克·韦伯;普路特·泰勒·文斯;德文·格拉耶;卢蒂娜·卫斯理;布里特妮·阿尔格,惊悚;恐怖,美国,英语,2014-04-18
1922,扎克·希尔迪奇,扎克·希尔迪奇;斯蒂芬·金,托马斯·简;莫莉·帕克;迪兰·施密德;凯特琳·伯纳德;尼尔·麦克唐纳;坦娅·钱普;布莱恩·达西·詹姆斯;鲍勃·弗雷泽;埃里克·李塞德;皮特·纽;布鲁斯·布莱恩;格雷姆·达菲,剧情;恐怖;犯罪,美国,英语,2017-09-23(奇幻电影节);2017-10-20(美国)
1980年代的爱情,霍建起,郑世平,芦芳生;杨采钰,爱情,中国大陆,汉语普通话,2015-09-11(中国大陆)
1995穿越时间,Yanyong Kuruaungkoul,,平采娜·乐维瑟派布恩;Dan Aaron Ramnarong;Achita Pramoj Na Ayudhya,喜剧;爱情;音乐,泰国,泰语,2015-03-19
2016：夜之尽头,Tim Fehlbaum,Tim Fehlbaum,Hannah Herzsprung;Stipe Erceg;Angela Winkler;Lars Eidinger;Lisa Vicari;Michael Kranz;Lilo Baur;Anne Sarah Hartung;Christoph Gaugler,科幻,德国,德语,2011-09-22(德国)
22年后的自白：我是杀人犯,入江悠,入江悠;平田研也;郑秉吉,藤原龙也;伊藤英明;夏帆;野村周平;石桥杏奈;龙星凉;早乙女太一;平田满;岩松了;岩城滉一;仲村亨,剧情;悬疑;犯罪,日本,日语,2017-06-10(日本)
234说爱你,张玮真,吴美枝,秦昊;林依晨;简宏霖;蔡淑臻;周姮吟;曾珮瑜,爱情,台湾,汉语普通话,2016-09-23(中国大陆);2015-10-23(台湾)
24小时：末路重生,布莱恩·斯莫兹,扎克·迪恩;吉姆·麦克莱恩;罗恩 ·米塔,伊桑·霍克;许晴;保罗·安德森;鲁特格尔·哈尔;利亚姆·坎宁安;娜塔莉·博尔特;坦娅·范·格拉恩;哈基姆·凯-卡西姆;珍娜·厄普顿;艾丹·怀托克;蒂龙·基奥;杰瑞米·杨;苏珊·玲·杨;理查德·洛锡安;比约恩·施泰因巴赫;布兰登·默雷;安德鲁·莫尔加多;杰森·梅德;加里·格鲁森;亚历克斯·安洛斯;谢恩·约翰·克鲁格,动作;科幻;惊悚;犯罪,美国 / 中国大陆 / 南非,英语 / 汉语普通话,2018-01-26(中国大陆);2017-10-26(奥斯汀电影节)
24：逆转时空,维克拉姆·库马尔,维克拉姆·库马尔,苏利耶·西瓦库马;萨曼莎·鲁斯·帕布;内森·梅农,动作;爱情;科幻,印度,泰米尔语,2016-05-06(印度)
26年,曹根贤,江草,晋久;任瑟雍;韩惠珍,剧情,韩国,韩语,2012-11-29(韩国)
26种死法2.5：M号档案,崔维斯·贝茨;Zac Blair;Ryan Bosworth;Peter Czikrai;Steve Daniels;Baris Erdogan;Carlos Faria;托德·E·弗里曼;Rodrigo Gasparini;Brett Glassberg;尼古拉斯·亨弗里斯;Summer Johnson;Clint Kelly;Cody Kennedy;Jason M. Koch;Ama Lea;Wolfgang Matzl;álvaro Nú?ez;Eric Pennycoff;Peter Podgursky;Mia Kate Russell;Tim Rutherford;Gigi Saul Guerrero;Michael Schwartz;Stuart Simpson;Jeff Stewart;Christopher Younes;Dante Vescio;卡莱斯·托伦斯;Lloyd Staszkiewicz;Joe Staszkiewicz,托德·E·弗里曼;Clint Kelly;Cody Kennedy;Jason M. Koch;Kevin Martin;Shane McKenzie;Robert Phelps;Mia Kate Russell;Tim Rutherford;Tom Stas;Jeff Stewart;鲍勃·伍尔西,Ali Arslan;Ilker Arslan;Anastasia Baranova;Dani Barker;John Beck;Beat Billson;David Blanka;Juan Bravo Jr.;Wesley Braxton;Don Bridges;Kevin Byrd;朱迪特·巴多斯;Ken Campbell;Josh Christensen;John Cianciolo;Josh Collins;Mace Coronel;露辛达·科尔登;娜塔丽·维多利亚;保罗·沃伦;巴德·沃森,喜剧;恐怖,美国,英语,2016-08-02(美国)
28岁未成年,张末,张末;张弘毅;张影;翟嘟;田金,倪妮;霍建华;马苏;王大陆;潘斌龙;隋凯;刘冰;余心恬;汪汐潮;来喜;曲哲明,喜剧;爱情;奇幻,中国大陆,汉语普通话,2016-12-09(中国大陆)
29+1,彭秀慧,彭秀慧,周秀娜;郑欣宜;蔡瀚亿;杨尚斌;金燕玲;赖慰玲;汤怡;郑丹瑞;葛民辉;林海峰;张国强;王宗尧;周家怡;梁祖尧,剧情;爱情,香港,粤语,2017-06-02(中国大陆);2016-10-31(香港亚洲电影节);2017-05-11(香港)
3月的狮子 前篇,大友启史,岩下悠子;渡部亮平;大友启史;羽海野千花,神木隆之介;有村架纯;仓科加奈;染谷将太;清原果耶;佐佐木藏之介;加濑亮;前田吟;高桥一生;岩松了;齐木茂;中村伦也;尾上寛之;奥野瑛太;甲本雅裕;新津知世;板谷由夏;伊藤英明;丰川悦司,剧情,日本,日语,2017-03-18(日本)
3月的狮子 后篇,大友启史,岩下悠子;渡部亮平;大友启史;羽海野千花,神木隆之介;有村架纯;仓科加奈;染谷将太;清原果耶;佐佐木藏之介;加濑亮;伊势谷友介;前田吟;高桥一生;岩松了;齐木茂;中村伦也;尾上寛之;奥野瑛太;甲本雅裕;新津知世;板谷由夏;伊藤英明;丰川悦司,剧情,日本,日语,2017-04-22(日本)
407航班,Isara Nadee,罗宁·提姆,Marsha Wattanapanich;彼得·奈特;Paramej Noiam;Paramej Noiam;乔纳森·萨姆森;Jonathan Samson;Sisangian Sihalath;Namo Tongkumnerd;Patcharee Tubthong,恐怖,泰国,泰语,2012-03-22(泰国);2012-04-03(台湾);2012-04-19(香港)
42号传奇,布莱恩·海尔格兰德,布莱恩·海尔格兰德,查德维克·博斯曼;哈里森·福特;妮可·贝哈瑞;克里斯托弗·米洛尼;瑞恩·莫里曼;卢卡斯·布莱克;安德烈·霍兰;艾伦·图代克;哈米什·林克莱特;T·R·奈特;约翰·C·麦金雷;托比·胡斯;麦克斯·盖尔;布拉德·比耶尔;小詹姆斯·皮肯斯,剧情;传记;运动,美国,英语,2013-04-12(美国)
45周年,安德鲁·海格,大卫·康斯坦丁;安德鲁·海格,夏洛特·兰普林;汤姆·康特奈;杰拉丁妮·詹姆斯;多莉·韦尔斯;大卫·西布利;山姆·亚历山大;理查德·坎宁汉姆;汉娜·查尔莫斯;鲁弗斯·赖特,剧情;爱情,英国,英语,2015-02-06(柏林电影节);2015-08-28(英国)
4等,郑址宇,郑址宇,朴海俊;柳在相;李杭娜,剧情;运动,韩国,韩语,2015-10-04(釜山电影节);2016-04-13(韩国)
51区,奥伦·佩利,奥伦·佩利,Sandra Staggs;Jelena Nik;Roy Abramsohn;Reid Warner;Ben Rovner;Susan Lanier,科幻;惊悚;恐怖,开曼群岛 / 美国,英语,2015-05-15(美国)
51号星球,Jorge Blanco,Joe Stillman,道恩·强森;杰西卡·贝尔;贾斯汀·朗;加里·奥德曼;西恩·威廉·斯科特;约翰·克立斯;Freddie Benedict;Alan Marriott;马修·豪勒;詹姆斯·柯登,喜剧;科幻;动画;家庭;奇幻;冒险,西班牙 / 英国 / 美国,英语 / 西班牙,2009-11-20
52赫兹，我爱你,魏德圣,魏德圣;游文兴;苏达,庄鹃瑛;林忠谕;姜圣民;陈玫希;张榕容;李千娜;赵咏华;林庆台;郑暐达;孙睿;马如龙;沛小岚;范逸臣;马念先;应蔚民;民雄;田中千绘;林晓培;安乙荞,喜剧;爱情;歌舞,台湾,汉语普通话 / 闽南语,2017-06-16(中国大陆);2017-01-26(台湾)
577计划,Yi Keun-Woo,河正宇,孔晓振;河正宇,剧情;喜剧;冒险,韩国,韩语,2012-08-30(韩国)
6.10民主抗争20年企划第二部：1987 2007,,,,,韩国,韩语,2007-06-10
60岁的情书,深川栄洋,古泽良太,中村雅俊;原田美枝子;井上順;戸田恵子;イッセー尾形;綾戸智恵;星野真里;内田朝陽;石田卓也,剧情,日本,日语,2009-05-16
7500航班,清水崇,克雷格·罗森伯格,瑞恩·柯万腾;艾米·斯马特;莱丝莉·比伯;杰米·钟;妮基·韦兰;杰瑞·费拉拉;克里斯蒂·瑟拉图斯;阿里克斯·弗罗斯特;乔纳森·斯卡奇,惊悚;恐怖,日本 / 美国,英语 / 日语,2014-06-11(菲律宾);2014-10-03(美国);2015-07-25(日本)
7号室,李容承,李容承,申河均;都暻秀;金东英;金正洙;金钟求;朴修荣;全锡浩;郑熙泰;金度允;黄贞敏;郑胜吉;金智英;金泰汉;禹志贤,喜剧;悬疑;犯罪,韩国,韩语,2017-07-13(富川奇幻电影节);2017-11-15(韩国)
7号房的礼物,李焕庆,李焕庆;刘英雅,柳承龙;朴信惠;郑镇荣;金正泰;吴达洙;朴元尚;郑满植;葛素媛,剧情;喜剧;家庭,韩国,韩语,2013-01-23(韩国)
8UPPERS FEATURE MUSIC FILM,中村哲平,中村哲平,村上信五;横山裕;涉谷昴;锦户亮;丸山隆平;安田章大;大仓忠义,剧情;音乐,日本,日语,2010-10-28
90分钟,PARK Sun-Uk,,张美仁爱;朱相昱,惊悚,韩国,韩语,2012-08-23(韩国)
9路冥婚,Rapeepimol Chaisaena,,Patitta Attayatamavitaya;Setsit Limkasitdej;Thiti Vetchabul,惊悚;恐怖,泰国,泰语,2012-09-13(泰国)
A片现场不NG,森川圭,森川圭,森田亚纪;栗林里莉;川上奈奈美;伊东红;住吉真理子;那波隆史;酒井健太郎;佐藤仁;蒲公仁;重松隆志;柴田明良;大迫可菜実;中原和宏,喜剧;情色,日本,日语,2015-05-09(日本)
A片现场不NG2,森川圭,森川圭,森田亚纪;平岛夏海;栗林里莉;川上奈奈美;伊东红;住吉真理子;中原和宏,喜剧;情色,日本,日语,2016-09-24(日本)
B+侦探,彭顺,彭顺,郭富城;廖启智;徐正溪;龚蓓苾;张兆辉;王梓一;谭耀文;林司敏;李蕴;何浚尉,剧情;悬疑;惊悚;犯罪,香港 / 中国大陆,粤语 / 汉语普通话 / 泰语,2011-04-29(中国大陆)
BBC伟大的作曲家第三集：柴可夫斯基,Simon Broughton,,Valery Gergiev;Evgeny Kissin;Ian McKellen;Maxim Vengerov;Yuri Temirkanov;Mikhail Rudy;Natalia Makarova,,英国,英语 / 俄语,
BBC地平线系列：爱因斯坦的生死方程,Garfield Kennedy;Nick Davidson,,Paul Brightwell;Bill Paterson;Samuel West,,英国,英语,2005-01-27
BLAME!,濑下宽之,贰瓶勉;村井贞之,樱井孝宏;花泽香菜;雨宫天;山路和弘;宫野真守;洲崎绫;岛崎信长;梶裕贵;丰崎爱生;早见沙织,科幻;动画,日本,日语,2017-05-20(日本)
CANAAN 剧场版,安藤真裕,奈须蘑菇,泽城美雪;坂本真绫;南条爱乃;浜田贤二,剧情;动画,日本,日语,2009-11-07
D坂杀人事件,窪田将治,窪田将治,祥子;河合龙之介;草野康太;大谷英子;仁科贵;近藤芳正;木下邦家,悬疑;情色,日本,日语,2015-02-14(日本)
GO小姐,朴哲观,郑凡植;崔文硕;郑植;金雪,高贤贞;柳海真;高昌锡;成东日;朴信阳;李文植,剧情;喜剧;动作;爱情,韩国,韩语,2012-06-21(韩国)
G调的玛瑙红,菲利克斯·福克斯坦纳,卡塔琳娜·舍德尔,玛丽亚·艾维克;杰尼斯·纽沃纳,爱情;科幻;奇幻;冒险,德国,德语,2013-03-14(德国)
High☆Speed! -Free! Starting Days-,武本康弘,西岡麻衣子,岛崎信长;铃木达央;丰永利行;内山昂辉;野岛健儿;日野聪;代永翼;平川大辅;宫野真守;细谷佳正;铃木千寻;渡边明乃;悠木碧;佐藤聪美;日笠阳子,动画;运动,日本,日语,2015-12-05(日本)
Hi，高考君,张馨,张冰,倪景阳;孙松;高亚麟;郑卫莉;郭东文;王楚;董慧;张恩齐;周文,剧情;喜剧,中国大陆,汉语普通话,2016-08-19(中国大陆)
I型起源,迈克·卡希尔,迈克·卡希尔,迈克尔·皮特;史蒂文·元;阿斯特丽德·伯格斯-弗瑞斯贝;布里特·马灵;Dorien Makhloghi;Charles W. Gray;John Schiumo;Farasha Baylock;Ako;Christopher Santamaria;Sebastian Santamaria;卡拉·西摩;Rhonda Ayers;Crystal Anne Dickinson;Venida Evans,剧情;科幻,美国,英语,2014-01-18(圣丹斯电影节)
JOJO的奇妙冒险：不灭钻石 第一章,三池崇史,荒木飞吕彦,山崎贤人;神木隆之介;小松菜奈;冈田将生;新田真剑佑;山田孝之;伊势谷友介;观月亚理莎;国村隼,动作;奇幻;冒险,日本,日语,2017-08-04(日本)
K 剧场版,鈴木信吾,GoRA,浪川大辅;杉田智和;福山润;宫野真守;津田健次郎;小松未可子;堀江由衣;泽城美雪;小野大辅;樱井孝宏,动作;科幻;动画;战争,日本,日语,2014-07-12(日本)
Love Live! 剧场版,京極尚彦,花田十輝,新田恵海;南条爱乃;内田彩;三森铃子;饭田里穗;Pile;楠田亚衣奈;久保由利香;德井青空,动画,日本,日语,2015-06-13(日本)
Near Equal 森山大道,藤井謙二郎,,森山大道;荒木経惟;西井一夫,,日本,日语,2001
Oh！我的幽灵鬼,Puttipong Pormsaka Na-Sakonnakorn,,Cris;苏达拉·布查蓬,剧情;喜剧;恐怖;鬼怪,泰国,泰语,2013-11-28(泰国)
POV 被诅咒的胶片,鶴田法男,鶴田法男,志田未来;川口春奈,恐怖,日本,日语,2012-02-18
P与JK,广木隆一,吉川菜美;三次真纪,龟梨和也;土屋太凤;高杉真宙;玉城蒂娜;西畑大吾;村上淳;友坂理惠;大政绚;田口智朗,喜剧;爱情,日本,日语,2017-03-25(日本)
R2B：回到基地,金东元,,郑智薰;申世京;刘俊相;吴达洙;李荷娜;金圣洙;李钟硕,剧情;动作,韩国,韩语,2012-08-14(韩国)
RE：人造人009,神山健治,神山健治;石之森章太郎,玉川砂记子;小野大辅;斋藤千和;大川透;丹泽晃之;增冈太郎;吉野裕行;杉山纪彰;宫野真守,科幻;动画,日本,日语,2012-10-27
S-最后的警官：夺还,平野俊一,古家和尚,向井理;绫野刚;新垣结衣;吹石一惠;青木崇高;池内博之;平山浩行;高桥努;平山祐介;本宫泰风;渊上泰史;本田博太郎;朝加真由美;菅原大吉;土屋安娜;辰巳琢郎;高岛政宏;近藤正臣;小田切让;大森南朋,动作;犯罪,日本,日语,2015-08-29(日本)
ST 红白的搜查档案,佐藤東弥,渡辺雄介;今野敏(原作),藤原龙也;岡田将生;志田未来;芦名星;窪田正孝;三宅弘城;柴本幸;水上剣星;ユースケ?サンタマリア;安達祐実;鈴木梨央;田中哲司;林遣都;瀬戸朝香;渡部篤郎,爱情;惊悚,日本,日语,2015-01-10(日本)
The Cure： Greatest Hits,Tim Pope,,,音乐,美国,英语,2001-12-11
The X-Files： The Truth,Kim Manners,,吉莲·安德森 Gillian Anderson;大卫·杜楚尼 David Duchovny,,美国,英语,2002-05-19
Wake Up,Girls! 七人的偶像,山本宽,待田堂子,吉冈茉祐;永野爱理;田中美海;青山吉能;山下七海;奥野香耶;高木美佑;日高法子;浅沼晋太郎,剧情;动画;歌舞,日本,日语,2014-01-10(日本)
X战警：天启,布莱恩·辛格,布莱恩·辛格;迈克尔·道赫蒂;丹·哈里斯;西蒙·金伯格,詹姆斯·麦卡沃伊;迈克尔·法斯宾德;詹妮弗·劳伦斯;尼古拉斯·霍尔特;奥斯卡·伊萨克;萝丝·拜恩;埃文·彼得斯;休·杰克曼;乔什·赫尔曼;苏菲·特纳;泰伊·谢里丹;卢卡斯·提尔;柯蒂·斯密特-麦菲;本·哈迪;亚历山德拉·希普;陈东兰;奥立薇娅·玛恩,动作;科幻;奇幻;冒险,美国,英语 / 德语 / 阿拉伯语 / 波兰语 / 古埃及语,2016-06-03(中国大陆);2016-05-09(伦敦首映);2016-05-27(美国)
X战警：第一战,马修·沃恩,简·古德曼;马修·沃恩;布莱恩·辛格;阿什利·米勒;扎克·施坦茨;谢尔顿·特纳,詹姆斯·麦卡沃伊;迈克尔·法斯宾德;詹纽瑞·琼斯;詹妮弗·劳伦斯;萝丝·拜恩;尼古拉斯·霍尔特;凯文·贝肯;佐伊·克罗维兹;亚历·冈萨雷斯;杰森·弗莱明;卢卡斯·提尔;摩根·莉莉;艾迪·盖瑟吉;奥利弗·普莱特;雷·怀斯;比尔·米尔纳;卡赖伯·兰德里·琼斯,剧情;动作;科幻,美国 / 英国,英语 / 德语 / 法语 / 西班牙语 / 俄语,2011-05-25(纽约首映);2011-06-01(英国);2011-06-03(美国)
X战警：逆转未来,布莱恩·辛格,西蒙·金伯格;简·古德曼;马修·沃恩,休·杰克曼;詹姆斯·麦卡沃伊;迈克尔·法斯宾德;詹妮弗·劳伦斯;哈莉·贝瑞;尼古拉斯·霍尔特;埃文·彼得斯;伊恩·麦克莱恩;帕特里克·斯图尔特;艾伦·佩吉;安娜·帕奎因;彼特·丁拉基;肖恩·阿什莫;卢卡斯·提尔;丹尼尔·库德摩尔;波波·斯图尔特;奥玛·希;范冰冰;阿丹·坎托;乔什·赫尔曼,动作;科幻;冒险,美国 / 英国,英语 / 越南语 / 法语,2014-05-23(美国/中国大陆)
Z岛,品川祐,品川祐,哀川翔;鶴見辰吾;鈴木砂羽;RED RICE;木村祐一;川島邦裕;中野英雄;山本舞香;水野絵梨奈;風間俊介;窪塚洋介;シシド?カフカ;般若;篠原ゆき子,喜剧;动作;恐怖,日本,日语,2015-05-16(日本)
“吃吃”的爱,蔡康永,蔡康永,徐熙娣;林志玲;金世佳;李子峰;陈汉典;范湉湉;傅雷;沈玉琳;梁赫群;赵正平;高山峰;马国贤;利晴天;曾恺玹;陈为民;小钟;谢依霖;仇佩佩;小甜甜;黄腾浩;郭文颐;张立东;杨升达;韩宜邦,喜剧;爱情;奇幻,中国大陆 / 香港 / 台湾,汉语普通话,2017-05-27(中国大陆/台湾)
《穆赫兰道》电视样带,David Lynch,大卫·林奇,Laura Harring;Naomi Watts;Brent Briscoe;Robert Forster;Dan Hedaya;Ann Miller;Justin Theroux;Katharine Towne;Scott Coffey;Lee Grant,,美国,英语,1999
《西贡小姐》二十五周年表演,Brett Sullivan,阿兰·布伯里勒 Alain Boublil,Eva Noblezada;阿利斯泰尔·布拉默;乔恩·琼·布里恩斯;Jonathan Pryce;丽娅·萨隆加;Simon Bowman;Rachelle Ann Go,音乐;歌舞,英国 / 美国,英语,2016-10-16(英国);2016-11-12(香港)
さらば！黄金の聖闘士,,,森田成一;櫻井孝宏;三浦祥朗,,,,2007-02-16
一万公里的约定,洪昇扬,洪昇扬;陈嘉蔚,赖雅妍;黄远;程予希;王大陆;周杰伦,剧情,台湾,汉语普通话,2017-01-06(中国大陆);2016-10-07(台湾)
一万年以后,易立,易立;陈景形;聂盛杰;刘勇,珠玛;亚拉亚姆;易立;王翀;王鲁;周婷;钟桂林;滕梦乔;刘勇;聂盛杰;刘平平;贾璐;邓海鹰;王一;夏铄铭;陆晓飞;陈景形;李菲;李思儒,动作;动画;奇幻,中国大陆,汉语普通话,2015-03-27(中国大陆)
一个人的武林,陈德森,刘浩良;麦天枢;陈德森,甄子丹;王宝强;杨采妮;白冰;方中信;樊少皇;释彦能;姜大卫;喻亢;思漩;吴浩康;纪焕博;王嘉慧;张文杰;刘伟强;郭子健;孟海;邹文怀;袁祥仁;张蓝心;元彬,动作;惊悚,中国大陆 / 香港,汉语普通话 / 粤语,2014-10-31(中国大陆)
一个人的课堂,李军林,王天化,孙海英;王乃训;韩三明,剧情;儿童,中国大陆,汉语普通话,2018-01-16(中国大陆)
一个勺子,陈建斌,陈建斌,陈建斌;蒋勤勤;王学兵;金世佳,剧情;喜剧,中国大陆,汉语普通话 / 西北方言,2015-11-20(中国大陆);2014-11-16(金马影展)
一个叫欧维的男人决定去死,汉内斯·赫尔姆,弗雷德里克·巴克曼;汉内斯·赫尔姆,罗夫·拉斯加德;巴哈·帕斯;托比亚斯·阿姆博瑞;菲利普·伯格;安娜-莱娜·布伦丁;博瑞·伦贝里;埃达·英格薇;弗雷德里克·埃弗斯;玛德琳·雅各布松;查特里娜·拉松;杰克尔·法尔斯特伦,剧情,瑞典,瑞典语 / 波斯语,2015-12-25(瑞典)
一九四二,冯小刚,刘震云,张国立;张默;徐帆;李雪健;陈道明;艾德里安·布洛迪;蒂姆·罗宾斯;冯远征;张涵予;王子文;段奕宏;范伟;柯蓝;张国强;林永健;乔振宇;李倩;赵毅,剧情;历史;战争;灾难,中国大陆,河南方言 / 英语 / 日语 / 汉语普通话,2012-11-29(中国大陆);2012-11-11(罗马电影节)
一些怪人,伊恩·麦卡利斯特·麦克唐纳,伊恩·麦卡利斯特·麦克唐纳,托马斯·曼;马琳·爱尔兰;莉莉·梅·哈灵顿;拉奇兰·布坎南;伊利·亨利;埃莉斯·哈德森;德文·卡拉韦;瑞安·布德罗;尼基·马苏德;辛西娅·哈林顿;莎拉·杰斯·奥斯特尔;希尔维亚·凯茨;香农·哈特曼;马扬克·巴特;杰西·杜弗,剧情;喜剧;爱情,美国,英语,2016-07-24(幻想曲国际电影节);2017-08-04(美国)
一代宗师,王家卫,邹静之;徐浩峰;王家卫,梁朝伟;章子怡;张震;宋慧乔;赵本山;小沈阳;王庆祥;张晋;卢海鹏;冯克安;刘家勇;张智霖;金士杰;徐锦江;刘洵;尚铁龙;罗莽;吴廷烨,剧情,中国大陆 / 香港,汉语普通话 / 粤语 / 日语,2013-01-08(中国大陆);2015-01-08(中国大陆 3D);2013-01-10(香港);2013-08-23(美国)
一切从遇见你开始,本木克英,桥部敦子,玉木宏;高梨临;东出昌大;木村文乃;本田翼;市川实和子;时任三郎;大塚宁宁;小林稔侍;倍赏千惠子,剧情;爱情,日本,日语,2013-11-22(日本)
一切尽失,J·C·尚多尔,J·C·尚多尔,罗伯特·雷德福,剧情;灾难,美国,英语,2013-05-22(戛纳电影节);2013-10-18(美国)
一切的一切,斯特拉·梅吉,J·迈尔斯·古德洛;妮古拉·尹,阿曼德拉·斯坦伯格;尼克·罗宾森;阿尼卡·诺尼·罗斯;安娜·德拉·雷古拉;泰勒·辛克森;多瑙·埃莫西约;丹·佩恩;菲奥娜·洛威;萨奇·布洛克勒班克;罗伯特·劳兰逊;彼得·本森;叶芳华;法林·万安贝克;玛丽恩·伊斯曼;艾莉森·莱利,剧情;爱情,美国,英语,2017-05-19(美国)
一切都好,张猛,宋啸,张国立;姚晨;窦骁;叶一云;陈赫;贾樟柯;张一白;邬君梅;周冬雨;王千源;范伟;张歆艺;张译,剧情;家庭,中国大陆,汉语普通话 / 天津话 / 英语 / 上海话 / 四川话,2016-01-01(中国大陆)
一句顶一万句,刘雨霖,刘震云,毛孩;李倩;刘蓓;范伟;李诺诺;齐溪;喻恩泰;孙茜,剧情;爱情;家庭,中国大陆 / 香港,汉语普通话,2016-11-04(中国大陆)
一号目标,翟俊杰;翟小兴,姜滇;董哲;翟俊杰,蒋勤勤;刘小锋;孙茜;张瑶;穆雷克;张晨光;果靖霖;林栋甫;刘欣;黄薇;翟万臣;薛山;孙维民,剧情;动作;悬疑,中国大陆,汉语普通话,2014-05-23(中国大陆)
一吻定情电影版1：高中篇,溝口稔,溝口稔,佐藤寛太;美沙玲奈;陣内孝則;石塚英彦;石田ひかり;大倉士門;山口乃々華,爱情,日本,日语,2016-11-26(日本)
一吻定情电影版2：大学篇,溝口稔,溝口稔,佐藤寛太;美沙玲奈;陣内孝則;石田ひかり;石塚英彦;大倉士門;山口乃々華;灯敦生;鶴久政治,喜剧;爱情,日本,日语,2017-01-27(日本)
一周的朋友,村上正典,叶月抹茶;泉泽阳子,川口春奈;山崎贤人;松尾太阳;上杉柊平;高桥春织;古畑星夏;伊藤沙莉;甲本雅裕;国生小百合;岩瀬亮;户次重幸;冈田圭右;山谷祥生;雨宫天,剧情;爱情,日本,日语,2017-02-18(日本)
